# ['Data file recorded 2013/1/14  7:59:53']
# ['%  keyboard_telem with hall effect ']
# ['%  motorgains    = [300, 0, 300, 0, 50, 300, 0, 300, 0, 50]\r\n%  delta         = [16384', ' 16384', ' 16384', ' 16384]"']
# ['%  intervals     = [128, 128, 128, 128]']
# ['% Columns: ']
# ['% time | Rlegs | Llegs | DCR | DCL | GyroX | GryoY | GryoZ | GryoZAvg | AX | AY | AZ | RBEMF | LBEMF ']
630  12.52  12.59 1286 1231 -1 -1 -1 0 -1 -1 -1 0 0  
633  12.49  12.59 1305 1251 -1 -1 -1 0 -1 -1 -1 0 0  
636  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
640  12.47  12.59 1323 1233 -1 -1 -1 0 -1 -1 -1 0 0  
643  12.47  12.59 1343 1251 0 0 0 0 0 0 0 0 0  
646  12.47  12.59 1324 1233 0 0 0 0 0 0 0 0 0  
650  12.47  12.59 1325 1231 0 0 0 0 0 0 0 0 0  
653  12.47  12.59 1342 1252 0 0 0 0 0 0 0 0 0  
656  12.47  12.59 1344 1250 0 0 0 0 0 0 0 0 0  
660  12.47  12.59 1344 1232 0 0 0 0 0 0 0 0 0  
663  12.47  12.59 1342 1233 0 0 0 0 0 0 0 0 0  
666  12.47  12.59 1343 1232 0 0 0 0 0 0 0 0 0  
670  12.47  12.59 1325 1250 0 0 0 0 0 0 0 0 0  
673  12.47  12.59 1323 1233 0 0 0 0 0 0 0 0 0  
676  12.47  12.59 1324 1232 0 0 0 0 0 0 0 0 0  
680  12.47  12.59 1343 1234 -1 -1 -1 0 -1 -1 -1 0 0  
683  12.47  12.59 1325 1251 -1 -1 -1 0 -1 -1 -1 0 0  
686  12.47  12.59 1343 1251 -1 -1 -1 0 -1 -1 -1 0 0  
690  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
693  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
696  12.47  12.59 1324 1252 -1 -1 -1 0 -1 -1 -1 0 0  
700  12.47  12.59 1326 1253 -1 -1 -1 0 -1 -1 -1 0 0  
703  12.47  12.59 1325 1251 -1 -1 -1 0 -1 -1 -1 0 0  
706  12.47  12.59 1323 1251 -1 -1 -1 0 -1 -1 -1 0 0  
710  12.47  12.59 1342 1232 -1 -1 -1 0 -1 -1 -1 0 0  
713  12.47  12.59 1324 1233 -1 -1 -1 0 -1 -1 -1 0 0  
716  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
720  12.47  12.59 1323 1251 -1 -1 -1 0 -1 -1 -1 0 0  
723  12.47  12.59 1344 1251 -1 -1 -1 0 -1 -1 -1 0 0  
726  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
730  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
733  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
736  12.47  12.59 1325 1232 -1 -1 -1 0 -1 -1 -1 0 0  
740  12.47  12.59 1343 1251 0 0 0 0 0 0 0 0 0  
743  12.47  12.59 1324 1251 0 0 0 0 0 0 0 0 0  
746  12.47  12.59 1324 1231 0 0 0 0 0 0 0 0 0  
750  12.47  12.59 1324 1233 0 0 0 0 0 0 0 0 0  
753  12.47  12.59 1324 1233 0 0 0 0 0 0 0 0 0  
756  12.47  12.59 1343 1252 0 0 0 0 0 0 0 0 0  
760  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
763  12.47  12.59 1325 1232 0 0 0 0 0 0 0 0 0  
766  12.47  12.59 1341 1251 0 0 0 0 0 0 0 0 0  
770  12.47  12.59 1325 1232 0 0 0 0 0 0 0 0 0  
773  12.47  12.59 1323 1232 0 0 0 0 0 0 0 0 0  
776  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
780  12.47  12.59 1323 1251 -1 -1 -1 0 -1 -1 -1 0 0  
783  12.47  12.59 1342 1251 -1 -1 -1 0 -1 -1 -1 0 0  
786  12.47  12.59 1342 1233 -1 -1 -1 0 -1 -1 -1 0 0  
790  12.47  12.59 1343 1233 -1 -1 -1 0 -1 -1 -1 0 0  
793  12.47  12.59 1324 1232 -1 -1 -1 0 -1 -1 -1 0 0  
796  12.47  12.59 1324 1232 -1 -1 -1 0 -1 -1 -1 0 0  
800  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
803  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
806  12.47  12.59 1323 1251 -1 -1 -1 0 -1 -1 -1 0 0  
810  12.47  12.59 1323 1233 -1 -1 -1 0 -1 -1 -1 0 0  
813  12.47  12.59 1342 1251 -1 -1 -1 0 -1 -1 -1 0 0  
816  12.47  12.59 1323 1232 -1 -1 -1 0 -1 -1 -1 0 0  
820  12.47  12.59 1324 1232 -1 -1 -1 0 -1 -1 -1 0 0  
823  12.47  12.59 1343 1231 -1 -1 -1 0 -1 -1 -1 0 0  
826  12.47  12.59 1325 1233 -1 -1 -1 0 -1 -1 -1 0 0  
830  12.47  12.59 1343 1252 -1 -1 -1 0 -1 -1 -1 0 0  
833  12.47  12.59 1324 1233 -1 -1 -1 0 -1 -1 -1 0 0  
836  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
840  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
843  12.47  12.59 1343 1250 0 0 0 0 0 0 0 0 0  
846  12.47  12.59 1325 1232 0 0 0 0 0 0 0 0 0  
850  12.47  12.59 1325 1232 0 0 0 0 0 0 0 0 0  
853  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
856  12.47  12.59 1342 1232 0 0 0 0 0 0 0 0 0  
860  12.47  12.59 1343 1233 0 0 0 0 0 0 0 0 0  
863  12.47  12.59 1324 1251 0 0 0 0 0 0 0 0 0  
866  12.47  12.59 1323 1251 0 0 0 0 0 0 0 0 0  
870  12.47  12.59 1324 1232 0 0 0 0 0 0 0 0 0  
873  12.47  12.59 1343 1251 -1 -1 -1 0 -1 -1 -1 0 0  
876  12.47  12.59 1343 1233 -1 -1 -1 0 -1 -1 -1 0 0  
880  12.47  12.59 1343 1251 -1 -1 -1 0 -1 -1 -1 0 0  
883  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
886  12.47  12.59 1323 1233 -1 -1 -1 0 -1 -1 -1 0 0  
890  12.47  12.59 1325 1251 -1 -1 -1 0 -1 -1 -1 0 0  
893  12.47  12.59 1325 1251 -1 -1 -1 0 -1 -1 -1 0 0  
896  12.47  12.59 1344 1232 -1 -1 -1 0 -1 -1 -1 0 0  
900  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
903  12.47  12.59 1324 1232 -1 -1 -1 0 -1 -1 -1 0 0  
906  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
910  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
913  12.47  12.59 1344 1233 -1 -1 -1 0 -1 -1 -1 0 0  
916  12.47  12.59 1343 1232 -1 -1 -1 0 -1 -1 -1 0 0  
920  12.47  12.59 1341 1233 -1 -1 -1 0 -1 -1 -1 0 0  
923  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
926  12.47  12.59 1324 1251 -1 -1 -1 0 -1 -1 -1 0 0  
